Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
9,"38, 215, 225, 234, 306, 310, 330, 510, 515",50,"013906345500233, 014790213900020, 11124A020100002, 11160A060100299, 11826 003 00098, 12079 60301 024, 13821A450400010, 15408A0146  807, 16767 145 00025, 17398 051 00499, 17399 051 00417, 17475 412700002, 17483 153 00295, 17997 119000100, 18006 000 00040, 18174 858, 18405 427200033, 18604 514200085, 18682 602800187, 18683 413200186, 18684 413200192, 18763 415700010, 19068 830 00170, 19862 000 00250, 19972 094200180, 19C273  64  063, 19C276  55  303, 19C329000301111, 200760000000030, 21279 000 00014, 21964 000 00002, 22386 000 00000, 25B08 000, 37C0563-1100265, 39C312  16S4W23, 39C319   17S4W4, 39C325344300238, 39C377364500023, 39C425425400174, 39C426426400013, 39C502502000173, 39C503502000257, 39C529507000571, 39C566532600059, 45C308091700000, 671264064100510, 671290052300000, 671303A68300250, 671315108400118, 67T009920700000"
5,"38, 215, 310, 330, 515",49,"02171A004 00033, 07507A041F05749, 09333 006C33571, 09932 300400006, 10789A029 00250, 10800A007700107, 10801A053 00086, 11C40A001700530, 11C63A008100078, 15694A063100092, 16691 C74700014, 16757 102700122, 16759 001 00025, 16829 096100216, 16830 055 00300, 16970 C52900169, 17959 021200008, 18443 077700477, 18477 657 00441, 18871 020 09392, 18938 097900009, 18950 005200010, 19C502  78  175, 19C503  78  207, 20174 145 00006, 20175 066 00334, 20497 067800062, 20590 501 02142, 20591 501 02692, 20609 000 00000, 20610 000 00000, 20727 000 00000, 20989 000 00000, 21425 616 00470, 21693 548 00400, 21C01 452 00005, 21C03 703 00450, 29C216A90400006, 29C262000 00052, 29C82  00000000, 37C0473-1600010, 39C238247300120, 39C378364700018, 39C508502000520, 39C568532600250, 41B005 5513  03, 45C1371053 0215, 69C04 538000930, 83062 083000620"
7,"38, 216, 228, 306, 330, 510, 515",44,"02786A066 03982, 03583A442 00114, 03607 049 00035, 03608 049 00041, 03C06 000, 09028 135100360, 12077 62101 018, 12141A54801 028, 12594A033200062, 12696 000900135, 12734 031700245, 18920 000 00000, 18C010 52001, 18C032067601743, 18C034067601898, 18C035067602075, 35C103109900070, 35C110134600187, 35C111134600205, 35C113097900040, 35C119097700070, 35C122062400010, 35C127059900855, 35C132110900055, 35C135085700015, 35C136105900300, 35C140083000325, 35C152117300085, 35C153134300050, 35C155099300030, 35C164067700960, 35C173088800550, 35C195098500545, 35C209110500080, 35C210106400040, 35C221125700140, 35C226121000920, 35C229085802950, 35C330134900335, 35C343110101570, 35C364067500290, 35C366087400010, 37440 374400010, 39C143162000040"
8,"38, 215, 225, 306, 310, 330, 510, 515",40,"03247A242 01155, 11242 140400548, 11C09 001B01315, 11C10Y015600054, 11C12 009100460, 11C50A001400570, 11C51B001400580, 11C55G005500525, 11C61 005500378, 11C62  05500431, 11C65 018900017, 11C74N017700138, 13380A207600020, 13744B103400010, 13772A210100005, 13777B408900010, 16100 072F00173, 17202 372 01828, 17972 869 00029, 19634 761 00370, 19635 108 00053, 19636 108 00043, 19860 004 00000, 19C163  21  384, 19C207 127  044, 19C413120A00073, 21188 047 00224, 23858 000 00032, 23C251025 00220, 24065 000 00239, 39C114105800485, 39C422414000056, 40059 000, 57C19A772 00040, 57C65 741 00138, 671227103000060, 671373056900010, 6C118 004C00412, C1110 004500458, T24065 00000239"
7,"38, 215, 226, 234, 306, 331, 510",38,"00351A030 01831, 00571A019 11650, 01750B002 10168, 02366B047 05455, 02716A050 00381, 039C09150200031, 04231A016 01406, 06999A047 05445, 07494B001 28938, 07494C001 28938, 08238N001 21785, 08238S001 21785, 08245N001 21092, 08245S001 21092, 08251N001 20534, 08251S001 20534, 08512A035 01980, 08705 069 01015, 08705A069 01015, 08705B069C01015, 08705C069C01015, 09413 210 00585, 09414 210 00591, 09544 02W 08621, 12208B210 00630, 12247A001200043, 12310 000300171, 12463 051500262, 12548 002600113, 14137A452 00123, 14138A452 00151, 17B005000000000, 19C260  48  241, 19C274025100014, 19C505 154  003, 22C02 000100118, 53C042001500750, W1750B002 10168"
10,"38, 219, 225, 228, 231, 306, 310, 330, 510, 515",37,"06138 000, 06461 000 00259, 11920A073000394, 11958 090300060, 11974 072200027, 11992 066600378, 12244A012200414, 12295A020400119, 12299 021200097, 12322A021900120, 12329 000300460, 12336 020600372, 12357 022400287, 12383 022300064, 12386 022300021, 12390A023600038, 12391 023600134, 12396 023400136, 12398 023400327, 12447 052000108, 12473 051600298, 12478 051300092, 12513 050200127, 12514 050200056, 12521 050800033, 12542 043000066, 12543 043000080, 12546 043000229, 12570A040100198, 12723A000800106, 12725A000800225, 12742 066800172, 12795 065200084, 12883 064800053, 12942 062900054, 13557 001300557, 53C040065100144"
8,"38, 215, 220, 306, 310, 330, 510, 515",34,"06C34 000 01929, 11328A871 01290, 11517 020 00032, 11726 000, 13602B210000020, 16604 D42 00342, 17C09 B20 00050, 17C5400E3500190, 18078 085001957, 18857 272 02523, 19155 000 00000, 19196 000 00000, 19673 000 00000, 20388 073503500, 21110 000 00000, 21564 760300054, 22402 000 00005, 299005299000045, 29C09 538   180, 29C272594 00440, 367005367000108, 37C0121-1000128, 39C119109400363, 39C227241200145, 39C246263500003, 39C37A433500122, 39C557519200060, 39C558521000830, 47C94 960 00000, 49B10 000, 510025510000407, 57C53A955 00010, 57C62 871 00038, C1106 064 03689"
7,"38, 205, 215, 234, 306, 331, 510",31,"00146A02W 05305, 00660A021 02342, 01750A301 00476, 02306 201 00097, 03323A380 04361, 04373A007 22774, 04374A007 22840, 04678 032 00732, 04805 032 00719, 07403B002F04606, 07552A002 07662, 07627A001 13325, 07627B001 13325, 07629A001 13200, 07833A001 17474, 07833B001 17474, 07839A001 11344, 07979A006 36999, 07979B006 36999, 08534 002 05604, 08604 002 05099, 08708 511 00556, 09117 511 00236, 09225 002 10995, 09225A002 10995, 09439 001 07139, 09439A001 07139, 101010101000080, 13353A114301783, 13762A114301480, 17191 001 24112"
8,"16, 109, 215, 306, 310, 330, 510, 515",30,"06331 000 00109, 06599A000, 13988A434800663, 15450A030 00634, 16254 555 00052, 16317 023 00675, 18004 035 00300, 18823 128 00283, 19593 000 00005, 19C264  48  945, 19C275  55  075, 19C331   3 1265, 20243 C12702339, 20282 080500832, 20340 000 00000, 20414 003 0092, 21153 506 00700, 22046 000 00000, 24219 047 00822, 37C0073-1200530, 39C121109700236, 39C16A250000570, 39C32A423400786, 39C375364000286, 39C43 503600084, 39C449439003433, 39C533507001387, 39C628622000188, 39C629622200315, 582045582000845"
5,"38, 215, 306, 331, 510",29,"01236A009 27380, 01C506531 00126, 02067A102 08639, 02997 191 02423, 03638A026 06725, 03818A038 00998, 03820A038 01175, 03995A018 04833, 04006A062 00927, 06945A002 01782, 07297 01EX00487, 07298 01EX00446, 07596 001 04308, 08942 002 11423, 09299 774 00697, 09300 774 00676, 09304 066200000, 09404 009 16648, 09456 301 00564, 10751A039 00979, 11789 000, 16814 072C00650, 18657 341 04258, 23B003000000000, 24241 603 00106, 25B53 000, 33C07 490000219, 43C15 000, 55C011064400001"
7,"16, 110, 205, 215, 306, 331, 510",29,"01074A025 04024, 01468 009 01282, 01469 041 09404, 01520 111900280, 02029 047 03738, 03325A380 05014, 03326A380 05167, 03970B015 03952, 04181 027 02669, 04841A341 04675, 05C03 000   003, 06204 028 09831, 07549 001C14218, 07573 010 05411, 07824 001 11918, 08012 039 05080, 08100 001F06163, 08423E006 31529, 08423W006 31529, 08461B272 00006, 08567 004 00690, 08614 300 00551, 08701 380 03848, 08702 380 03873, 15468A994 00128, 15469A994 00203, 470614000, 47C11 031, 558812003302050"
3,"241, 330, 515",29,"00493 066 04571, 01935A063 00218, 02481A058 00304, 03C18 000, 04168 027 00235, 04745 052 07668, 07071 450Y02048, 0M015 019 12552, 0M023 039 03321, 0M116 301 00705, 0M364 012 05586, 17411 012 01432, 17461 066 03049, 17937 052 04735, 18085 115 00540, 18098 052 07535, 19135 070 00051, 19582 000 00000, 19857 135 00014, 22110 020 02536, 22534 091 04975, 24288 333500000, 40004 000 00000, 40005 000, 40007 000, 40008 000, 40014 000 00083, 40017 000 00647, BC007 000000000"
7,"38, 215, 220, 306, 330, 510, 515",28,"01069A000 00066, 05584A076700067, 06267 000 00085, 06287 000 00171, 06394 002 00252, 06486 000 00020, 09C36AA11 00263, 11398 858 00680, 11525 000, 11548F000, 11686F000, 11751 000, 11840 000, 11960 090300300, 12629 073900083, 12658 071300188, 12729 000700196, 12905 083800089, 12962 835 00005, 14436 000 00990, 16765 082300057, 21342 000 01880, 22351 000 00000, 22C07 001700425, 43C13 000, 43C16 000, 57C17 564 00045, 59C408067500465"
8,"16, 104, 215, 306, 310, 330, 510, 515",27,"01260A018 00000, 01979B037 00690, 02314A340 02882, 11171A060400050, 11C151001900079, 17157 036 01550, 17158 036 01566, 17381 116 61C35, 17944 007 22553, 17987 048 03010, 18246 112100005, 18533 05340 025, 18951 040 00340, 19614 915 00010, 19778 000 00610, 19779 817 00009, 19933 073 02562, 20042 729 00130, 20072 778 01160, 20149 000 00037, 20178 510 00107, 21426 060700410, 21740 786 00050, 22192 038 00497, 22465 000 00021, 31C52 B37 00000, 59C458052500743"
8,"38, 210, 215, 306, 310, 330, 510, 515",26,"00906A052 00394, 01401A180 00240, 01402A180 00493, 014942125000609, 01747B450 00873, 039C25270001340, 11220A130100485, 11222A130100567, 11254A146000055, 11932 074100070, 13C41 000000010, 14833A193000712, 16619 822 00002, 16932 000517010, 17396 244 01472, 18464 007 13251, 19C149014800001, 19C347   5 1734, 23853 000 00000, 23912 000 09119, 26T06 000 00000, 35C126059901310, 39C166195600010, 39C414409300007, 470252, 59C215133200014"
7,"12, 107, 215, 306, 330, 510, 515",26,"06563 000 00041, 19C005000800648, 19C034001501223, 19C038001800829, 19C060000700405, 19C079013600003, 19C080013500037, 19C089009200001, 19C133020001215, 19C208004300271, 19C209004300507, 19C217  28  343, 19C219  27  235, 19C235000602355, 19C240  51  268, 19C330000301142, 19C341   5  524, 19C351   6 1008, 19C366009400240, 19C414021100005, 20638 004500350, 26T01 000 00000, 26T07 000 00000, 45C101050900151, 45C217055400115, 45R21 097600000"
2,"38, 215",25,"02014A02W 01123, 07369 002 19762, 08870 001 19076, 09015A001 30686, 09055 030 02453, 09254B061 00165, 09254H061C00118, 09391 047 07341, 09392 047 07370, 13514C064 02271, 13514D002C00664, 13514H002 00660, 13514I064 02224, 16014 009 32647, 16302 064 01982, 16637 047C06935, 17198 210 00780, 17302 000 00000, 17303 000 00000, 17304 000 00000, 17305 047 06895, 17307A047C06954, 19199 047 07083, 19725 047 06855, 22604 006 27087"
9,"38, 219, 225, 228, 306, 310, 330, 510, 515",24,"11936 073000030, 11983 067200103, 12276A011100020, 12281 040200376, 12326 022100050, 12372 021700079, 12381 022300270, 12474 051600148, 12502 022200403, 12529 051000245, 12545 043000134, 12573 040200250, 12576 002200008, 12632 001800171, 12663 071500085, 12676 070200105, 12688 070100462, 12782 031200028, 12801A007A00068, 12804A007A00129, 12817 076500497, 12974 060400124, 22C09 001101129, 53B144000000000"
7,"54, 216, 228, 235, 306, 332, 510",24,"05133 010, 05514 747 00000, 47C01 002 00000, 47C03 000, 47C102091600005, 47C103091600007, 47C13 035 00000, 47C23 073 00000, 47C26 086 00000, 47C30 406, 47C36 543, 47C39 548, 47C48 631, 47C51 631, 47C52 640, 47C75 906 00000, 47C77 909, 47C78 914, 47C79 921, 47C80 922, 47C86 929, 47C87 932, 47C88 944, 47C90 953"
9,"31, 111, 216, 228, 235, 306, 330, 510, 515",24,"03C12 000, 06115 000   500, 06163 000, 06167 000 00360, 14129 000 00050, 14145 000 00050, 14186 000 00010, 14411 000 00070, 14430 262 00048, 18C017121100520, 18C16A121101300, 18C21AB30400064, 18C26A122400044, 25C04 C404 1345, 35C123062400110, 35C154134300190, 35C163067700920, 35C206133300411, 35C225074700030, 35C228121000940, 671228104400350, 671237102900040, 671311152000085, 671374056700001"
7,"15, 104, 215, 306, 310, 331, 510",23,"00957A022 09037, 17939 229 04930, 19916 007 21446, 20057 414700732, 20058 414700549, 20059 414700460, 20133 000 00014, 20155 018 06795, 20156 018 07340, 20621 003 00707, 20668 246000872, 20729 414700810, 20730 414700864, 21937 000 00000, 22043 075700001, 22049 041 00000, 23245 035 00377, 23838A020B00490, 23843 000 01460, 23904 000 00465, 23963 000 00037, 24052 000 00000, 35C182052900090"
3,"220, 240, 515",22,"01008A027 04632, 02479A047 02892, 03C264400000000, 09C00440C10100, 10051A760100072, 13C29 226 00008, 16416 035 05239, 18057 033 02791, 19584 737 00082, 20028 000 00000, 21217 20A 00050, 21243 000 00065, 22190 000 00100, 22340 000 00418, 22391 000 00120, 23095 000 00347, 24021 270 00058, 24134 000 00003, 24366 000 00053, 24367 000 00027, 24368 000 00038, 59C607085000004"
7,"38, 206, 216, 306, 330, 510, 515",22,"18C023097500520, 18C12A052000985, 35C101109900090, 35C108098400310, 35C112097900250, 35C124109100020, 35C125116700080, 35C134109700070, 35C137056601120, 35C145098800070, 35C157088900140, 35C158088900190, 35C159098300050, 35C169088700110, 35C175111301, 35C177109300020, 35C179098100165, 35C196111100070, 35C212090400100, 35C216080300034, 35C338121101000, 35C342087500003"
8,"16, 110, 205, 215, 220, 306, 331, 510",21,"00548A000 00000, 00729A229 03786, 01873A037 02364, 01874A037 02769, 04025A229 02138, 06508 018 01183, 06701A712 00181, 08088 788 00037, 08427 006F25675, 08710 000 02107, 08723 689 01072, 09473 215 00464, 11915 074900483, 12101A42402 093, 13352A114301914, 13761A114301584, 16017 022 04219, 16018 022 04354, 25E09 C30500006, 470216000, 53C082741400005"
6,"38, 215, 310, 330, 510, 515",20,"004066514001208, 00943A051001710, 016518050202895, 11633 042700000, 15746A068700815, 15747A068700845, 16347 003 00142, 16393 666 00014, 16716 685 00270, 18022 1121 0115, 23897 000 00000, 25E15 C30800198, 37C017111F00142, 37C0313-1401130, 37C0512-1000080, 37C0593-1001312, 39C23A260001260, 39C541511000082, 59C025105200345, 63C09 514 00109"
4,"241, 330, 510, 515",19,"02741 041 01057, 07813 789 00334, 07T05 000000265, 07T06 000 00000, 17431 052 02832, 18718 187180000, 18C013 52004, 19061 120 00249, 19091 000 00000, 19136 000 00000, 19C199 107  141, 20518 335 00093, 21751 000 00000, 23171 000 00000, 29C249821 00323, 29C84 660 00018, 35C380 88800370, 40006 000, 40016 000 00074"
8,"38, 215, 226, 234, 306, 330, 510, 515",19,"00836A010 01480, 00928A009 29549, 01740 02W 01319, 02365A047 05785, 02404A039 03798, 03945 01W 10890, 08940 062 03156, 09461 000 00055, 09496 029 02459, 09497 029 02497, 09498 029 02520, 09638 029 01999, 10794A126 00976, 11149A110100222, 12261 000200323, 12684 070100199, 16480 000000110, 39C33A423400799, 53C027000100495"
6,"12, 109, 215, 306, 310, 331",19,"06070A000 00140, 16744 009 00040, 17992 863 00200, 18285 058 00002, 18479 000000000, 18903 050 00084, 18965 045 01905, 19123 052 07663, 19957 026 03324, 20625 664 00003, 21252 449 00275, 21363 000 00170, 216970249500280, 22430 045 02150, 22431 045 02510, 23890 041 06505, 39C185147500000, 39C186147500000, 39C452439003589"
5,"12, 109, 215, 306, 331",18,"00444B045 05368, 01420A150 01250, 04076B062 04099, 05038A153 00090, 17416 193 00038, 18262 045 02284, 18277 160 01866, 18309 000 00000, 18893 016 00392, 19015 009 28478, 19126 001 25179, 19923 000 00003, 20038 033 01389, 20237 033 01802, 20869 028 00577, 20945 047 04630, 22877 000 00000, 23837 242 01203"
8,"15, 109, 215, 306, 310, 330, 510, 515",18,"11219A130100377, 12011A10601 060, 13647B306400309, 13648B306400196, 13679A300000005, 13752A116000192, 13779A405200017, 16532N004 13765, 18019 200000001, 18034 001100100, 18036 41900 601, 18293 661500023, 20390 090002075, 20447 727 02108, 20448 727 01927, 20452 090002210, 21476 000 00097, 671331088900004"
6,"16, 110, 215, 306, 331, 510",18,"00893 182 00419, 00894 182 00394, 02084 350 01605, 04677 032 00581, 07818 000 00001, 07820 992 02131, 07821 992 02092, 09C59 209700760, 17B001000000000, 18105 000000000, 25B42 000 00030, 470610000, 530205530200026, 59C705130000221, 59C706130000296, 59C708130000379, 59C721130000494, 59C752130000514"
7,"38, 219, 306, 310, 330, 510, 515",18,"02778A005 21674, 04770A333 00959, 04771A333 01015, 09653 018 00089, 16060 A14 00277, 17311 066500391, 22748 000 00000, 39C181198600014, 39C214218200010, 39C215219200288, 39C245258000036, 39C27A407800425, 39C362362500211, 39C447439000344, 39C563523000198, 39C565532400001, 39C618610700020, 39C623614000220"
8,"12, 109, 205, 215, 234, 306, 310, 331",18,"01515A610101250, 08250 001 20705, 08736 001 01856, 08852 001C14683, 09372 001C09582, 16926 01E 00440, 19230 006 25724, 20231 033 01407, 20232 033 01424, 20252 039 02466, 20380 858 00579, 20381 858 01153, 20382 312002405, 20623 270001305, 20765 000 00428, 20871 028 05994, 21292 010 01786, 471111000 16968"
8,"38, 215, 225, 234, 306, 310, 331, 510",17,"12311 000300184, 12312 000300197, 18237 18237 843, 18350 001 23985, 18351 001 24003, 18352 001 24020, 18353 001 24170, 18659 010A00330, 18865 000 00270, 19062 000 00000, 19633 000 00000, 19823 004 26311, 20379 229 04826, 20463 091 10272, 20596 206500000, 21709C503600190, 22099 121100010"
9,"12, 109, 205, 215, 234, 306, 310, 331, 521",17,"08683 001 02192, 09198 052 00031, 09324 069 01064, 09327 069 01098, 09578 006 19516, 09578A006 19516, 13478 140 03862, 16437 070 00061, 16438 070 00061, 16439 070 00076, 16440 070 00076, 16453 006 17943, 16454 006 17943, 16780 210 00777, 16810 012 03071, 16811 012 03186, 20104 222 01459"
8,"15, 104, 215, 306, 310, 330, 510, 515",17,"07C04 031400065, 10904 068100000, 10905 053200000, 11815 412 00108, 18005 000000003, 18840 140900030, 19700 000 00000, 20197 032 01253, 20257 012200203, 21397 041F06619, 22072 000 00007, 22642 000 00000, 23974 218 00015, 24310 124 00908, 31C94A106 00020, 59C005135001970, 671424010001670"
5,"241, 306, 330, 510, 515",17,"01C046B22 00345, 01C047B22 00356, 09C04AC32 00223, 12C20 065 00310, 18519 453 00159, 18650 580025491, 18719 000000000, 18C014 52005, 19607 108900020, 20325 211 00000, 21405 467000590, 322006322000065, 40010 000, 40015 000 00005, 520006520000045, 555010555000020, 580020580000250"
6,"16, 110, 205, 306, 331, 510",17,"01648A449 01003, 01926A350 01512, 04733A036 01775, 07641 236 00768, 07861A001 16958, 08109 702 00039, 08138 814 00180, 08150 533 00100, 08159 994 02206, 08475 052200000, 09845 215 01726, 09846 215 01776, 13763A114301410, 14188A251 00765, 16032 012 06365, 21C08 455 00300, 37C0301-1100760"
8,"38, 219, 228, 306, 310, 330, 510, 515",16,"06175 000 00030, 06185 000 00101, 06326 000 00115, 07079 000700079, 11931 074100130, 12265 000201247, 12278 011200018, 12492 052600044, 12493 002300163, 12661A071400038, 12768 076900055, 12827 076400052, 14009 615 00071, 22C06 001700409, 53C104851000171, 84502A845A00002"
8,"31, 111, 216, 228, 306, 330, 510, 515",16,"03C23 000 00090, 14097 000, 14118 000 00240, 14426 000 00200, 14521 000, 14530 000, 16C03 579 00391, 25A72 C10800175, 25C06 C40402262, 25C14 C409 0849, 25C15 C409 0932, 25C19 C40901186, 25C20 C409 1186, 35C117121000160, 35C341085400010, 59C437060000425"
8,"16, 110, 215, 220, 306, 330, 510, 515",15,"02166 047 02447, 05244 000 00050, 05314 000 00436, 06093 015 00300, 06132 006 00099, 06263 000, 06329 000 00001, 06338 000 00001, 06397 000   035, 06480 000   002, 11752 000, 15C23 808 00579, 15C36 059500520, 470208000 00000, 47C101083700080"
9,"12, 109, 205, 215, 234, 301, 310, 331, 521",15,"09311 035 04863, 09346 001C 8812, 16411 035 05169, 16412 035 05185, 16414 035 05216, 16606 035 05290, 20026 001 25213, 20422 001 11774, 20557 000 00000, 20582 045 03639, 20611 001 10541, 20612 001 10541, 21306 001 15649, 21343 025 00697, 21382 670 00013"
7,"16, 104, 215, 306, 310, 331, 510",15,"16267 069 01166, 16813 072C00647, 16864A100000430, 17441 229 04781, 17955 000 00000, 18177 009 21087, 18775 102 03359, 19666 047 00399, 19707 037 04087, 20210 000 00000, 20732 046 00011, 21696 111200240, 22539 D63 00005, 241291257 00099, 39C433433000078"
6,"12, 104, 215, 306, 310, 331",14,"17945 069 00461, 18308 036 01873, 18356 001 24258, 19958 026 03409, 20890 000 00000, 21560 000000000, 22272 000 00000, 22300 000 00000, 22302 000 00000, 22533 091 05106, 22757 004 18013, 23931 004 15433, 23932 004 15433, 24326 000 00000"
8,"38, 215, 225, 234, 306, 330, 510, 515",14,"00558A066 01261, 013563100900290, 04050A200 01872, 04834A340 00063, 06646 000600646, 37C0083-1001840, 39C573533000045, 671204129100310, 671225177600000, 671312152000080, 671329095200001, 671333113500080, 671361A68400060, 67T004125400050"
9,"30, 107, 215, 306, 311, 313, 330, 510, 515",14,"10891 069300000, 22215 120100564, 59C034105001067, 59C1121425 2273, 59C147085002481, 59C195118100001, 59C197120000700, 59C227121900024, 59C320134700171, 59C389073700023, 59C549072500027, 59C709080000064, 59C712080000004, 59C725090001880"
8,"30, 107, 215, 306, 310, 330, 510, 515",14,"18649 097300839, 19841 212 00010, 20445 000 00050, 20446 000 00000, 21340 000 00000, 22358 C11400047, 22501 000 00000, 22502 000 00000, 49B07 000, 49C02 059400000, 49C07 011800000, 49C08 096600000, 49C17 093000000, 49C22 057600000"
7,"38, 210, 215, 306, 330, 510, 515",14,"01134A004 14015, 03378 A08 00300, 03943A058 03204, 03944A058 03208, 06827A361 01125, 06895 01W 00167, 09571 690 00062, 09818 D02 01058, 09819 D56 00080, 09C60 E01 00100, 09C74AD31200450, 12957 083300063, 19858 135 00028, 39C234246000443"
7,"12, 109, 215, 306, 330, 510, 515",14,"09775 270 00499, 15472A076800114, 15477A103600073, 19871 774 00393, 43C06 000 00000, 45C134105200067, 45C142069800477, 45C201084300039, 45C208103600364, 45C209055400557, 45C211085300010, 45C218098000044, 45C219086000233, 47C100A57700000"
7,"12, 109, 215, 306, 310, 331, 521",13,"18046 033 02510, 18048 033 02530, 18049 033 02544, 18050 033 02575, 18051 033 02620, 18055 033 02770, 18346 001 23571, 18427 02200 856, 18518 015 02259, 20721 071 04277, 21041 001 19299, 21487 042X00006, 21488 042X00013"
7,"38, 215, 301, 310, 330, 510, 515",13,"11386 887 00175, 18512 098700196, 19649 026 05779, 19852 040200008, 20067 859 00943, 20068 859 00640, 20124 000 00234, 20201 045 01067, 20285 800 01400, 21183 969 00025, 22075 103 00448, 23954 229 00568, 51C07A000 00001"
7,"30, 107, 202, 219, 330, 510, 515",13,"01C414537 00284, 01C800999 00065, 19138 012 00021, 19139 003 00177, 19140 023 00058, 19609 110 00008, 21059 023 00000, 21117 042 00000, 21118 042 00000, 61C23 054 00350, 61C44 000000000, 61C45 000000000, 61C46 000000000"
7,"38, 205, 210, 215, 306, 331, 510",13,"00185A02W 07071, 01066A004 01446, 01C510876Y00039, 02836A414 00044, 08325 777 00130, 08720 710 00962, 08983 000 00551, 09193A228 00037, 09193B228 00037, 09374 001C09596, 09389 572 00038, 09436 101500102, 18501 101500019"
6,"30, 107, 215, 330, 510, 515",13,"01C031635 00186, 01C032114300039, 01C210659 00153, 01C412584 00046, 01C804101500406, 01C812101500323, 01C814101500221, 01C816101800111, 01C820101200062, 01C824102700006, 01C828112800018, 21222 000 00000, 59C539064700497"
6,"12, 109, 215, 301, 310, 331",13,"18940 02W 01000, 19026 353 00138, 19161 406 00015, 19878 000 00000, 19884 000 00000, 20665001XC25178, 20970 000 00000, 21036 772 00265, 21077 001 19266, 21141 033 01520, 21451 000 00553, 21631022BD00183, 23265 035 03557"
